date	account_id	campaign_id	ad_id	last_updated	impressions	clicks	conversion	revenue	cost
2020-01-02	acc11	camp12	ad1006c12a11	2020-02-02 12:21:05	21611	925	6	90.15536866623692	23.453361179425084
2020-01-02	acc11	camp11	ad1009c11a11	2020-02-02 12:21:05	31840	741	29	61.16100710870745	22.323702123166854
2020-01-02	acc11	camp12	ad1007c12a11	2020-02-02 12:21:05	19959	336	12	45.69074029367917	21.713329070114217
2020-01-02	acc11	camp14	ad1002c14a11	2020-02-02 12:21:05	97561	460	91	34.979119773478764	20.85673116187413
2020-01-02	acc11	camp13	ad1006c13a11	2020-02-02 12:21:05	23457	955	72	56.870921494844794	19.299407335603334
2020-01-02	acc11	camp12	ad1009c12a11	2020-02-02 12:21:05	81237	292	46	1.4832656837456235	18.37222982122201
2020-01-02	acc11	camp10	ad1004c10a11	2020-02-02 12:21:05	12018	241	15	12.997020693960144	17.97355672715863
2020-01-02	acc11	camp10	ad1002c10a11	2020-02-02 12:21:05	32942	689	32	42.18986157429864	17.90664504184697
2020-01-02	acc11	camp14	ad1001c14a11	2020-02-02 12:21:05	78728	895	24	13.236559514532125	17.702141924622534
2020-01-02	acc11	camp13	ad1009c13a11	2020-02-02 12:21:05	30613	884	75	81.09056133827687	17.054050609960246
2020-01-02	acc11	camp14	ad1008c14a11	2020-02-02 12:21:05	12190	380	34	73.85035826538241	16.73586122539633
2020-01-02	acc11	camp13	ad1004c13a11	2020-02-02 12:21:05	93020	675	98	45.37033431482051	16.219801183892322
2020-01-02	acc11	camp12	ad1004c12a11	2020-02-02 12:21:05	80049	442	38	83.57857488262401	15.898591450368329
2020-01-02	acc11	camp12	ad1008c12a11	2020-02-02 12:21:05	85433	660	59	38.726890524256454	14.188617823733304
2020-01-02	acc11	camp11	ad1005c11a11	2020-02-02 12:21:05	6464	322	74	6.739030129620353	13.430708396914746
2020-01-02	acc11	camp13	ad1000c13a11	2020-02-02 12:21:05	11999	233	50	15.014975292149455	13.12238372076414
2020-01-02	acc11	camp14	ad1007c14a11	2020-02-02 12:21:05	35401	189	65	56.31097334265288	11.23559589555282
2020-01-02	acc11	camp11	ad1006c11a11	2020-02-02 12:21:05	45319	878	51	21.833686447624903	9.075226569117618
2020-01-02	acc11	camp10	ad1008c10a11	2020-02-02 12:21:05	71385	265	1	98.08691595591927	8.190237245611026
2020-01-02	acc11	camp12	ad1002c12a11	2020-02-02 12:21:05	75837	607	19	17.44306409612441	7.616604681879563
2020-01-02	acc11	camp11	ad1002c11a11	2020-02-02 12:21:05	59332	530	24	26.15724495898804	7.462862626399315
2020-01-02	acc11	camp12	ad1001c12a11	2020-02-02 12:21:05	24816	440	37	23.330697288425032	7.347617767447427
2020-01-02	acc11	camp13	ad1003c13a11	2020-02-02 12:21:05	4648	848	69	45.751054606284505	5.517484343386015
2020-01-02	acc11	camp13	ad1002c13a11	2020-02-02 12:21:05	29190	413	74	63.277916732839266	5.283283281737605
2020-01-02	acc11	camp10	ad1007c10a11	2020-02-02 12:21:05	47415	391	14	5.575314027059504	4.745303329427402
2020-01-02	acc11	camp11	ad1000c11a11	2020-02-02 12:21:05	35368	230	66	37.425204477005266	3.9552870457783746
2020-01-02	acc11	camp14	ad1006c14a11	2020-02-02 12:21:05	65392	377	71	72.46379171147188	0.907970918765278
